Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Date,,,,,
2023-12-13 15:00:00,16418.75,16436.75,16392.5,16399.75,15575
2023-12-13 16:00:00,16390.5,16428.75,16386.0,16418.25,10962
2023-12-13 17:00:00,16382.25,16403.25,16377.5,16391.25,8658
2023-12-13 18:00:00,16382.25,16395.0,16365.5,16382.25,6448
2023-12-13 19:00:00,16558.5,16578.5,16379.0,16379.0,29470
2023-12-13 20:00:00,16566.75,16593.0,16470.5,16560.0,26366
2023-12-13 21:00:00,16550.25,16572.5,16541.25,16566.75,5437
2023-12-13 23:00:00,16605.5,16606.75,16561.5,16561.5,0
2023-12-14 00:00:00,16649.0,16649.0,16605.0,16605.25,2809
2023-12-14 01:00:00,16667.5,16670.75,16645.5,16648.25,1639
2023-12-14 02:00:00,16658.5,16674.5,16653.25,16667.5,1105
2023-12-14 03:00:00,16649.25,16664.5,16639.5,16658.5,887
2023-12-14 04:00:00,16663.0,16663.75,16648.0,16648.5,530
2023-12-14 05:00:00,16662.0,16664.75,16656.0,16663.25,291
2023-12-14 06:00:00,16667.75,16673.25,16657.0,16660.5,524
2023-12-14 07:00:00,16638.75,16667.25,16638.75,16667.25,1175
2023-12-14 08:00:00,16633.5,16661.75,16631.0,16639.5,1450
2023-12-14 09:00:00,16616.25,16635.5,16606.5,16635.5,1773
2023-12-14 10:00:00,16634.25,16642.5,16610.75,16617.0,1047
2023-12-14 11:00:00,16619.75,16639.75,16613.75,16632.5,772
2023-12-14 12:00:00,16628.5,16642.0,16624.75,16624.75,1011
2023-12-14 13:00:00,16639.75,16642.0,16596.5,16632.25,2506
2023-12-14 14:00:00,16636.5,16663.75,16599.5,16641.0,12093
2023-12-14 15:00:00,16601.25,16638.25,16555.75,16636.0,16360
2023-12-14 16:00:00,16570.5,16606.25,16533.0,16601.25,15966
2023-12-14 17:00:00,16526.5,16609.75,16524.75,16570.0,13022
2023-12-14 18:00:00,16458.75,16526.25,16418.75,16526.25,17186
2023-12-14 19:00:00,16525.75,16529.5,16457.0,16457.5,10240
2023-12-14 20:00:00,16544.75,16546.25,16515.75,16526.0,10078
2023-12-14 21:00:00,16536.25,16554.75,16525.75,16545.0,2622
2023-12-14 23:00:00,16550.5,16552.5,16522.0,16532.5,0
2023-12-15 00:00:00,16548.25,16562.75,16544.0,16549.75,284
2023-12-15 01:00:00,16550.0,16555.0,16538.25,16551.25,152
2023-12-15 02:00:00,16553.0,16560.0,16548.5,16550.25,360
2023-12-15 03:00:00,16561.75,16561.75,16549.75,16552.75,417
2023-12-15 04:00:00,16558.0,16563.5,16557.25,16561.75,257
2023-12-15 05:00:00,16563.5,16563.75,16550.5,16561.25,236
2023-12-15 06:00:00,16554.25,16560.0,16553.5,16560.0,243
2023-12-15 07:00:00,16587.0,16590.0,16558.75,16558.75,798
2023-12-15 08:00:00,16588.5,16589.75,16572.5,16587.25,1014
2023-12-15 09:00:00,16599.5,16601.0,16583.0,16587.75,1293
2023-12-15 10:00:00,16590.25,16604.75,16585.5,16599.5,1359
2023-12-15 11:00:00,16597.25,16605.5,16586.5,16589.5,742
2023-12-15 12:00:00,16586.25,16602.75,16584.0,16596.25,1197
2023-12-15 13:00:00,16580.0,16603.5,16549.25,16588.5,2558
2023-12-15 14:00:00,16558.0,16612.5,16521.5,16584.25,1479
2023-12-15 21:00:00,16815.0,16815.0,16815.0,16815.0,636602
2023-12-17 23:00:00,16823.5,16846.0,16802.25,16820.25,5432
2023-12-18 00:00:00,16825.25,16838.5,16821.25,16823.5,5351
2023-12-18 01:00:00,16828.5,16832.0,16819.75,16825.75,3264
2023-12-18 02:00:00,16840.25,16843.25,16826.75,16828.5,2830
2023-12-18 03:00:00,16842.0,16845.75,16835.75,16840.25,2503
2023-12-18 04:00:00,16852.75,16853.0,16838.75,16841.75,2409
2023-12-18 05:00:00,16853.25,16858.5,16850.75,16852.25,2077
2023-12-18 06:00:00,16843.75,16858.5,16842.0,16853.75,2827
2023-12-18 07:00:00,16839.75,16855.5,16835.75,16844.25,4388
2023-12-18 08:00:00,16842.25,16845.25,16809.25,16839.75,10076
2023-12-18 09:00:00,16842.0,16854.25,16833.75,16842.75,6936
2023-12-18 10:00:00,16836.0,16854.75,16835.0,16842.25,4965
2023-12-18 11:00:00,16823.0,16842.0,16817.0,16836.5,5866
2023-12-18 12:00:00,16840.75,16842.5,16818.25,16822.75,7399
2023-12-18 13:00:00,16853.5,16854.25,16830.0,16841.0,13111
2023-12-18 14:00:00,16878.5,16883.0,16832.5,16853.75,76690
2023-12-18 15:00:00,16869.0,16905.5,16866.5,16878.75,69226
2023-12-18 16:00:00,16905.0,16914.75,16855.75,16869.0,52022
2023-12-18 17:00:00,16932.0,16937.75,16904.75,16905.0,34436
2023-12-18 18:00:00,16954.5,16957.75,16920.75,16932.0,28585
2023-12-18 19:00:00,16961.0,16974.0,16947.5,16954.5,35389
2023-12-18 20:00:00,16938.0,16972.0,16937.25,16961.0,55244
